centroid-0,centroid-1,area
1355.4545454545455,6762.712121212121,66
1533.96,6523.893333333333,75
1663.054794520548,4090.794520547945,73
1666.0,3984.0,77
1819.741935483871,5123.806451612903,62
1885.0,7735.0,77
1956.9857142857143,8620.371428571429,70
2006.5,8630.40909090909,66
2020.0,8682.0,77
2074.0,5010.0,77
2078.6428571428573,3100.964285714286,84
2109.764705882353,4906.455882352941,68
2271.6129032258063,9333.741935483871,62
2521.0,9879.0,77
2546.855072463768,9565.115942028986,69
2611.152777777778,6224.083333333333,72
2632.1388888888887,3019.7361111111113,72
2700.0114942528735,9560.574712643678,87
2712.0,8258.0,95
2811.5522388059703,3176.3880597014927,67
2874.0,2196.0,77
2939.4,2347.230769230769,65
2951.5,9330.546875,64
3174.224719101124,1304.7078651685392,178
3220.6703296703295,11483.153846153846,91
3338.190476190476,5454.6984126984125,63
3375.630769230769,8186.153846153846,65
3442.8513513513512,9290.121621621622,74
3530.0,9327.0,77
3650.0,3063.0,77
3832.0933333333332,3454.0933333333332,75
3846.5555555555557,5503.587301587301,63
3874.178082191781,4126.931506849315,73
4019.7285714285713,689.6714285714286,70
4173.0,3678.0,77
4229.615384615385,4065.4461538461537,65
4382.13698630137,8511.794520547945,73
4395.415384615385,9113.6,65
4738.0,3041.0,77
4806.0,2850.0,77
4856.0,7346.0,77
5007.08,8721.48,100
5131.5901639344265,7317.459016393443,61
5208.093333333333,8805.093333333334,75
5214.84375,8568.3125,64
5235.0,10178.0,77
5330.382352941177,808.0294117647059,68
5462.9,6475.614285714286,70
5633.615384615385,6154.523076923077,65
6005.0,11165.0,77
6214.973684210527,5969.9473684210525,76
6833.861538461539,5999.4,65
7122.6760563380285,5834.87323943662,71
7238.25,5050.3125,64
7497.709677419355,3672.548387096774,62
7504.571428571428,10331.650793650793,63
7576.0,9463.0,77
7608.4,10106.76923076923,65
7964.098360655737,7299.508196721312,61
8249.72131147541,3659.934426229508,61
8516.92,8856.026666666667,75
9028.70588235294,4525.441176470588,68
9058.126984126984,5291.746031746032,63
9157.622950819672,5003.245901639344,61
9450.95061728395,5117.666666666667,81
9493.476923076923,5096.3538461538465,65
